書名,頁,目次（NDL公開目次を整理したものです、頁はPDF物理頁、コメントなどはfukkoku@est.co.jpまで）
bit 1996年07月号,32,64ビットシステムとは何か? 64ビットコンピューティングへの実現技術とその利用(前編)……干場信之，末廣陽一，清兼義弘
bit 1996年07月号,43,VRMLの最新動向とCyberPassage VRML2.0とJava①……松田晃一
bit 1996年07月号,51,アレフ・ゼロ 七曜計算……JRH
bit 1996年07月号,52,データ並列C言語NCX……湯浅太一
bit 1996年07月号,60,桶と壺……斉藤康己
bit 1996年07月号,65,Emacs解剖学② Emacsの成立とキーボード……井田昌之
bit 1996年07月号,74,bit悪魔の辞典
bit 1996年07月号,75,Tips㊸ 英語の読み方，書き方のツボ……安藤進
bit 1996年07月号,76,Bookガイド わたしの書棚から⑪ ヒューマンインタフェース編……田中二郎
bit 1996年07月号,84,電脳徒然草 グラフィックファイル形式を求めて……前田英明
bit 1996年07月号,86,インターネット最前線⑦ インターネットは二日酔い?……村上健一郎
bit 1996年07月号,94,知的所有権 Hot Line……久保田裕
bit 1996年07月号,95,コンピュータ囲碁とコンピュータチェス……松原仁
bit 1996年07月号,102,ニューラルコンピューティングの遊び方⑨ 小選挙区区割り問題……斎藤孝之，武藤佳恭
bit 1996年07月号,106,Frequently Asked Questions
bit 1996年07月号,107,計算の迷宮⑯ 化粧の内側……電脳 雑技団
bit 1996年07月号,114,ソフトウェア探訪(79) 電子ホワイトボード上の議論……高橋三雄
bit 1996年07月号,118,暗号最新事情⑦ セキュリティインフラストラクチャ Yaksha……満保雅浩，岡本栄司
bit 1996年07月号,129,bit Cadenza
bit 1996年07月号,130,ぶっくす
bit 1996年08月号,1,表紙
bit 1996年08月号,9,目次
bit 1996年08月号,11,Opinion 創ることを希う……安井裕
bit 1996年08月号,12,多様化するリムーバブルメディアの変遷①……寺田猛
bit 1996年08月号,23,インターネット最前線⑧ Java キャッチフレーズの真相……青柳龍也
bit 1996年08月号,33,Tips㊹ 英語の読み方，書き方のツボ……安藤進
bit 1996年08月号,34,Javaがもたらしたもの① Webアプレットの誕生……戸松豊和
bit 1996年08月号,41,Emacs解剖学③ Gosling登場……井田昌之
bit 1996年08月号,48,bit悪魔の辞典
bit 1996年08月号,49,アレフ・ゼロ 教えるべきか教えざるべきか……M生
bit 1996年08月号,50,目指せ「ソフトウェア立国」 21世紀を担うソフトウェア人材育成の課題……宮崎正俊
bit 1996年08月号,59,ソフトウェアの研究って何だろう?① もう一つのグループウェア研究のアイディア……永田守男
bit 1996年08月号,65,VRMLの最新動向とCyberPassage VRML2.0とJava②……松田晃一
bit 1996年08月号,74,電脳徒然草 兎にも角にもHyperCard……前田英明
bit 1996年08月号,76,熊雄と狸子の音声認識入門②……嵯峨山茂樹
bit 1996年08月号,84,Frequently Asked Questions
bit 1996年08月号,85,Bookガイド わたしの書棚から⑫ コンピュータグラフィクス編……川合慧
bit 1996年08月号,95,暗号最新事情⑧ 鍵配送，鍵管理と認証……満保雅浩，岡本栄司
bit 1996年08月号,104,ニューラルコンピューティングの遊び方⑩ 電話連絡網問題……大島典子，小川智明，武藤佳恭
bit 1996年08月号,108,64ビットシステムとは何か? 64ビットコンピューティングへの実現技術とその利用(後編)……干場信之，末廣陽一，清兼義弘
bit 1996年08月号,121,ソフトウェア探訪(80) ビジネスゲームはチームプレイが基本……高橋三雄
bit 1996年08月号,124,知的所有権 Hot Line……久保田裕
bit 1996年08月号,125,計算の迷宮⑰ 国興人民之間的規律 暗号鍵は誰のものか……電脳 雑技団
bit 1996年08月号,131,bit Cadenza
bit 1996年08月号,132,ぶっくす
bit 1996年09月号,1,表紙
bit 1996年09月号,9,目次
bit 1996年09月号,11,Opinion 「永訣の朝」原稿 身体の痕跡……石井裕
bit 1996年09月号,12,リアルワールドデータベースとその実現技術①……有澤博
bit 1996年09月号,18,アメリカにおけるキーボード障害裁判の技術的評価……山田尚勇
bit 1996年09月号,26,Tips㊺ 英語の読み方，書き方のツボ……安藤進
bit 1996年09月号,27,熊雄と狸子の音声認識入門③……嵯峨山茂樹
bit 1996年09月号,37,VRMLの最新動向とCyberPassage③ VRML+Network=Cyberspace?……本田康晃
bit 1996年09月号,46,JavaTMがもたらしたもの② Java仮想機械……戸松豊和
bit 1996年09月号,52,知的所有権 Hot Line……久保田裕
bit 1996年09月号,53,計算の迷宮⑱ プロセスだって人間だ……電脳雑技団
bit 1996年09月号,58,電脳徒然草 さあこれからJava……前田英明
bit 1996年09月号,60,計算の品質……伊理正夫
bit 1996年09月号,64,Frequently Asked Questions
bit 1996年09月号,65,Bookガイド わたしの書棚から⑬ 関係データベース理論編……上林弥彦
bit 1996年09月号,75,ソフトウェアの研究って何だろう?② もう一つのグループウェアシステムの実現と評価……永田守男
bit 1996年09月号,83,ソフトウェア探訪(81) 「データウェアハウスの父」きたる……高橋三雄
bit 1996年09月号,86,アレフ・ゼロ 嫌携帯電話権
bit 1996年09月号,87,インターネット最前線⑨ World Wide Web Consortium……出水法俊
bit 1996年09月号,94,bit悪魔の辞典
bit 1996年09月号,95,ニューラルコンピューティングの遊び方⑪ ナイトツアー問題に挑戦……井庭崇，斎藤孝之，武藤佳恭
bit 1996年09月号,99,Emacs解剖学④ Multics Emacs……井田昌之
bit 1996年09月号,109,暗号最新事情⑨ 供託電子マネー方式……満保雅浩，岡本栄司
bit 1996年09月号,119,多様化するリームバブルメディアの変遷②……寺田猛
bit 1996年09月号,127,bit Cadenza
bit 1996年09月号,128,ぶっくす
bit 1996年10月号,1,表紙
bit 1996年10月号,13,目次
bit 1996年10月号,15,Opinion 計算機と通信のこれまでと今後……西澤潤一
bit 1996年10月号,16,飛べ，オブジェクト! HORBプログラミングマジック(前編)……中原真則，平野聡
bit 1996年10月号,27,bit悪魔の辞典
bit 1996年10月号,28,Bookガイド わたしの書棚から⑭ プログラム著作権編……名和小太郎
bit 1996年10月号,35,多様化するリムーバブルメディアの変遷③ ……寺田猛
bit 1996年10月号,44,電脳徒然草 ハイテク時代にローテクで生きる……前田英明
bit 1996年10月号,46,Emacs解剖学⑤ バッファローカル変数(その1)……井田昌之，榎並嗣智
bit 1996年10月号,54,アレフ・ゼロ 落花時節グレー・ウォルターの亀に逢う
bit 1996年10月号,55,インターネット最前線⑩ IPv6:The final fronteer……伊藤純一郎
bit 1996年10月号,61,VRMLの最新動向とCyberPassage④ CyberPassageを使ったマルチユーザ世界の作り方……本田康晃
bit 1996年10月号,71,知的所有権 Hot Line……久保田裕
bit 1996年10月号,72,リアルワールドデータベースとその実現技術②……有澤博
bit 1996年10月号,79,計算の迷宮⑲ 「で，納期は?」「明日には納品できそうです」……電脳雑技団
bit 1996年10月号,83,暗号最新事情⑩ 暗号の応用例 超流通と情報自己保護機構……岡本栄司，満保雅浩
bit 1996年10月号,90,Tips㊻ 英語の読み方，書き方のツボ……安藤進
bit 1996年10月号,91,ニューラルコンピューティングの遊び方⑫ 自己組織化モデルによるMRI画像処理……岡宗一，茶志川孝和，武藤佳恭
bit 1996年10月号,95,Javaがもたらしたもの③ デザインの時代へ……戸松豊和
bit 1996年10月号,102,ソフトウェアの研究って何だろう?③ もう一つのグループウェア研究の展開……永田守男
bit 1996年10月号,112,Frequently Asked Questions
bit 1996年10月号,113,ソフトウェア探訪(82) 旅の道連れはデジタルカメラ……高橋三雄
bit 1996年10月号,116,熊雄と狸子の音声認識入門④……嵯峨山茂樹
bit 1996年10月号,127,bit Cadenza
bit 1996年10月号,128,ぶっくす
bit 1996年11月号,1,表紙
bit 1996年11月号,9,目次
bit 1996年11月号,11,Opinion 脳と情報環境……仁科エミ
bit 1996年11月号,12,情報システム学の新しいカリキュラム IS'95が意図するもの……浦昭二，神沼靖子
bit 1996年11月号,21,SuperCon'96 パソコンプログラミングからスーパープログラミングへ……松田裕幸
bit 1996年11月号,30,パラレルプログラミングを始めてみませんか(番外編) 可視化情報を用いた並列アルゴリズム教育の試み……梅尾博司
bit 1996年11月号,38,リアルワールドデータベースとその実現技術③……有澤博
bit 1996年11月号,47,Tips(47) 英語の読み方，書き方のツボ……安藤進
bit 1996年11月号,48,Bookガイド わたしの書棚から⑮ 理論の常識編……萩谷昌己
bit 1996年11月号,55,アレフ・ゼロ 普通の研究者と道楽系研究者
bit 1996年11月号,56,ニューラルコンピューティングの遊び方⑬ ニューラルネットワークで解く「一筆書き」……青葉雅人，武藤佳恭
bit 1996年11月号,60,Frequently Asked Questions
bit 1996年11月号,61,飛べ，オブジェクト! HORBプログラミングマジック(後編)……中原真則，平野聡
bit 1996年11月号,69,知的所有権 Hot Line……久保田裕
bit 1996年11月号,70,暗号最新事情⑪ 新しい暗号攻撃法……岡本栄司，満保雅浩
bit 1996年11月号,76,電脳徒然草 いまやLinuxの秋……前田英明
bit 1996年11月号,78,Emacs解剖学⑥ バッファローカル変数(その2)……井田昌之，榎並嗣智
bit 1996年11月号,87,多様化するリムーバブルメディアの変遷④……寺田猛
bit 1996年11月号,96,ソフトウェア探訪(83) 第?の「ウェア」……高橋三雄
bit 1996年11月号,99,計算の迷宮⑳ こちら認知科学研究所! Ⅳ……電脳雑技団
bit 1996年11月号,105,VRML2.0最終仕様 Javaバインディング……松田晃一，杉野浩之
bit 1996年11月号,112,bit悪魔の辞典
bit 1996年11月号,113,bit Cadenza
bit 1996年11月号,114,ぶっくす
bit 1996年12月号,1,表紙
bit 1996年12月号,9,目次
bit 1996年12月号,11,Opinion アジア太平洋地域における高度ネットワークの必要性……Kilnam Chon，後藤滋樹
bit 1996年12月号,12,ATMとインターネット……太田昌孝
bit 1996年12月号,20,Fortran95 次期Fortran規格の概要……高田正之
bit 1996年12月号,24,アーケードゲームのテクノロジ① スプライトのすべて……宮澤篤，駒野目裕久
bit 1996年12月号,32,Tips(48) 英語の読み方，書き方のツボ……安藤進
bit 1996年12月号,33,ニューラルコンピューティングの遊び方⑭ 結婚式の席配置問題……大来進，武藤佳恭
bit 1996年12月号,37,地球観測衛星の画像データ処理 身近になった衛星画像/データ入手から画像作成まで……村上篤司，植松正吾，勝矢光昭
bit 1996年12月号,48,bit悪魔の辞典
bit 1996年12月号,49,アレフ・ゼロ 公用旅券廃止論
bit 1996年12月号,50,コンピュータによるモンゴル語文字処理の現状……A.バリデン，矢島敬二
bit 1996年12月号,59,インターネット最前線⑪ ネットワークワームの平和利用 NMW登場……大野浩之，小野木渡
bit 1996年12月号,67,ソフトウェア探訪(84) 山へのあこがれ……高橋三雄
bit 1996年12月号,70,Frequently Asked Questions
bit 1996年12月号,71,Bookガイド わたしの書棚から⑯ コンピュータ音楽編……平田圭二
bit 1996年12月号,80,電脳徒然草 古きを訪ねて……前田英明
bit 1996年12月号,82,暗号最新事情(完) 量子暗号と量子計算機……満保雅浩，岡本栄司
bit 1996年12月号,89,知的所有権 Hot Line……久保田裕
bit 1996年12月号,90,Mathematicaバージョン3.0現わる!……榊原進
bit 1996年12月号,100,Emacs解剖学⑦ GNUの誕生まで……井田昌之
bit 1996年12月号,109,計算の迷宮(21) デモクラシーの迷宮……電脳雑技団
bit 1996年12月号,115,bit Cadenza
bit 1996年12月号,116,ぶっくす
bit 1997年01月号,1,表紙
bit 1997年01月号,9,目次
bit 1997年01月号,11,Opinion 在宅勤務とコミュニケーション……土井美和子
bit 1997年01月号,12,私のデバッグ……天海良治，有澤誠，泉谷希光，金田康正，坂井修一，鈴木悦子，竹内郁雄，多田好克，近山隆，千葉滋，中條拓伯，中西正和，西村恕彦，一松信，平木敬，増井俊之，水谷静夫，安村通晃，和田英一
bit 1997年01月号,14,骨までデバッグ……天海良治
bit 1997年01月号,16,ころばぬ先の杖……有澤誠
bit 1997年01月号,18,健康一頭と体と食べ物と……泉谷希光
bit 1997年01月号,20,円周率計算のデバッグ……金田康正
bit 1997年01月号,22,コンピユ一夕のデバッグと短歌のデバッグ……坂井修一
bit 1997年01月号,24,プログラミング初心者のデバッグ……鈴木悦子
bit 1997年01月号,26,オヂサンたちの熱いデバッグ……竹内郁雄
bit 1997年01月号,28,並行プログラムの虫取り……多田好克
bit 1997年01月号,30,デバッグは楽しい……近山隆
bit 1997年01月号,32,職人的デバッグと科学的デバッグ……千葉滋
bit 1997年01月号,34,ハードウエアのデバッグ……中條拓伯
bit 1997年01月号,36,バグを出さない……中西正和
bit 1997年01月号,38,デバッグ体験すなわちプログラミング体験……西村恕彦
bit 1997年01月号,40,数学関連のデバッグ体験……ー松信
bit 1997年01月号,42,幸せなハードウエアデバッグ 計算システムを必ず動かす法……平木敬
bit 1997年01月号,44,富豪的プログラミング……増井俊之
bit 1997年01月号,46,文章のデバッグ……水谷静夫
bit 1997年01月号,48,虫，ムシ，蒸し，無私，無死，無視，夢思……安村通晃
bit 1997年01月号,50,デバッギング一個人的な体験と対策……和田英一
bit 1997年01月号,52,アレフ・ゼロ 天翔るプログラム言語
bit 1997年01月号,53,マルチメディアの基礎技術① 音声・楽音の情報圧縮……守谷健弘
bit 1997年01月号,59,Tips㊾ 英語の読み方，書き方のツボ……安藤進
bit 1997年01月号,60,東京大学デジタル・ミュージアムへようこそ!……坂村健
bit 1997年01月号,66,知的所有権 Hot Line……久保田裕
bit 1997年01月号,67,Emacs解剖学⑧ 続キーボードの話……井田昌之
bit 1997年01月号,71,アーケードゲームのテクノロジ② まきものはおまえを“スクロール”……宮澤篤，駒野目裕久
bit 1997年01月号,79,Bookガイド わたしの書棚から⑰ ユーザビリティ編……黒須正明
bit 1997年01月号,87,bit悪魔の辞典
bit 1997年01月号,88,ソフトウェア探訪(85) 活用しようCD-ROM版データベース……高橋三雄
bit 1997年01月号,91,計算の迷宮㉒ テキスト上の見える言語……電脳雑技団
bit 1997年01月号,100,電脳徒然草 いずれの道を選んだとしても……前田英明
bit 1997年01月号,102,ニューラルコンピューティングの遊び方⑮ No-Three-in-Line問題……土屋和広，武藤佳恭
bit 1997年01月号,106,Frepuently Asked Questions
bit 1997年01月号,107,インターネット最前線⑫ 公衆電話は最前線 WIDE/PhoneShellのこころみ……大野浩之
bit 1997年01月号,115,bit Cadenza
bit 1997年01月号,116,ぶっくす
bit 1997年02月号,1,表紙
bit 1997年02月号,9,目次
bit 1997年02月号,11,Opinion ユーザビリティのジレンマ……黒須正明
bit 1997年02月号,12,Virtualized Reality 仮想化された現実……金出武雄
bit 1997年02月号,21,計算の迷宮㉓ Hacker不是Cracker ハッカーはクラッカーじゃない!……電脳雑技団
bit 1997年02月号,28,アレフ・ゼロ 倫理
bit 1997年02月号,29,アーケードゲームのテクノロジ③ ビデオゲームのスペシャルイフェクツ……宮澤篤
bit 1997年02月号,37,電子図書館 システム構築の事例より……金崎克己，國井秀子，白田由香利
bit 1997年02月号,47,物理現象を表わす擬音語・擬態語……田中基八郎
bit 1997年02月号,52,電脳徒然草 新しいシステム/本続々と……前田英明
bit 1997年02月号,54,インターネット最前線⑬ 隠れた情報をみつけたい 千里眼……田村健人
bit 1997年02月号,60,Bookガイド わたしの書棚から⑱ 人工生命編……星野力
bit 1997年02月号,67,ソフトウェア探訪(86) 忘れないうちに音声メモで……高橋三雄
bit 1997年02月号,70,マルチメディアの基礎技術② 音声の符号化……小沢一範
bit 1997年02月号,78,知的所有権 Hot Line……久保田裕
bit 1997年02月号,79,自己評価:プログラミング言語……Mitchell H.Clifton，西村恕彦
bit 1997年02月号,91,bit悪魔の辞典
bit 1997年02月号,92,Tips(50) 英語の読み方，辞き方のツボ……安藤進
bit 1997年02月号,93,Emacs解剖学⑨ 入力の補完……井田昌之，亀井信義
bit 1997年02月号,104,Frepuently Asked Questions
bit 1997年02月号,105,ニューラルコンピューティングの遊び方⑯ Ramsey問題に挑戦……土屋和広，武藤佳恭
bit 1997年02月号,110,曲面の見え方 「蝶」「がちょう」「かもめ」を探してみよう……金谷健一
bit 1997年02月号,117,bit Cadenza
bit 1997年02月号,118,ぶっくす
bit 1997年03月号,1,表紙
bit 1997年03月号,9,目次
bit 1997年03月号,11,Opinion コンピュータと次世代テレビジョンの仕様統一……藤原洋
bit 1997年03月号,12,新世代ビデオゲームコンソール……鈴置雅一
bit 1997年03月号,24,bit悪魔の辞典
bit 1997年03月号,25,脳と情報環境 電子メディアの人体への影響……仁科エミ
bit 1997年03月号,33,アレフ・ゼロ 普段着とよそいき
bit 1997年03月号,34,目指せバーチャルシンポジウム HIS'96における会議運営電子化の試み……高橋信，渋谷雄，加藤博一
bit 1997年03月号,45,知的所有権 Hot Line……久保田裕
bit 1997年03月号,46,並列に詰将棋を解くプログラム 多数のUNIXワークステーションを利用して……中山泰一
bit 1997年03月号,51,Bookガイド わたしの書棚から⑲ クラッカー小説編……川副博
bit 1997年03月号,55,Frepuently Asked Questions
bit 1997年03月号,56,国際化・多言語化の基礎と実際(前編)……片岡裕
bit 1997年03月号,65,Emacs解剖学(完) ソースで遊ぼう……井田昌之
bit 1997年03月号,73,Tip(51) 英語の読み方，書き方のツボ……安藤進
bit 1997年03月号,74,歌は世につれ交配進み……阿江忠
bit 1997年03月号,82,電脳徒然草 わがIndy始動す……前田英明
bit 1997年03月号,84,インターネット最前線(完) WIDEプロジェクトとインターネット……和田英一
bit 1997年03月号,95,計算の迷宮㉔ 下手な鉄砲も……電脳雑技団
bit 1997年03月号,102,ソフトウェア探訪(87) あこがれのホームパソコン……高橋三雄
bit 1997年03月号,105,ニューラルコンピューティングの遊び方⑰ 電車のダイヤ作成問題……北端美紀，吉池紀子，武藤佳恭
bit 1997年03月号,111,マルチメディアの基礎技術③ オーディオ高能率符号化……赤桐健三，筒井京弥
bit 1997年03月号,119,bit Cadenza
bit 1997年03月号,120,ぶっくす
bit 1997年04月号,1,表紙
bit 1997年04月号,9,目次
bit 1997年04月号,11,Opinion 自己表現の言葉……中島秀之
bit 1997年04月号,12,座談会 クヌース先生に聞く……Donald E.Knuth，有澤誠，黒川利明，来住伸子
bit 1997年04月号,24,さなげ山通信① HCIは塩化水素か 人とコンピュータの対話……木村泉
bit 1997年04月号,29,アレフ・ゼロ The Comedy of Carry
bit 1997年04月号,30,ディジタルキャッシュの原理と課題……菊池浩明
bit 1997年04月号,38,前置きなしに話す……金出武雄
bit 1997年04月号,40,アーケードゲームのテクノロジ番外編 ドンキーコング奮闘記……駒野目裕久
bit 1997年04月号,51,マルチメディアの基礎技術④ 画像の情報圧縮……藤原洋
bit 1997年04月号,59,ソフトウェア探訪(88) 備品管理シール代わりの「プリクラ」……高橋三雄
bit 1997年04月号,62,私信:ハッカー倫理……棟上昭男
bit 1997年04月号,64,国際化・多言語化の基礎と実際(後編)……片岡裕
bit 1997年04月号,74,知的所有権 Hot Line……久保田裕
bit 1997年04月号,75,算術論理式システムBEM-Ⅱを使ってパズルを解こう……奥乃博，湊真一
bit 1997年04月号,86,電脳徒然草 今河が……前田英明
bit 1997年04月号,88,ニューラルコンピューテイコンピューティングの遊び方⑱ バックプロパゲーションによる学習……岡宗一，青葉雅人，武藤佳恭
bit 1997年04月号,92,bit悪魔の辞典
bit 1997年04月号,93,並列計算機は実際に超大規模計算に役立つのか?……水関博志，川添良幸，八重樫育生
bit 1997年04月号,102,Tips(52) 英語の読み方，書き方のツボ……安藤進
bit 1997年04月号,103,Bookガイド わたしの書棚から⑳ プログラミング編……梅村恭司
bit 1997年04月号,111,RoboCupへの道 序章……松原仁
bit 1997年04月号,115,Frepuently Asked Questions
bit 1997年04月号,116,計算の迷宮㉕ 未来からのパケット……電脳雑技団
bit 1997年04月号,123,bit Cadenza
bit 1997年04月号,124,ぶっくす
bit 1997年05月号,1,表紙
bit 1997年05月号,9,目次
bit 1997年05月号,11,Opinion 理論と実践の調和……D.E.Knuth，有澤誠
bit 1997年05月号,12,続・キーボード談議① 個人用小型キーボードへの長い道……和田英一
bit 1997年05月号,21,個人環境としてのPC UNIX……砂原秀樹
bit 1997年05月号,22,PC UNIXを使ってみよう……砂原秀樹
bit 1997年05月号,27,BSD/OS……鈴木茂哉
bit 1997年05月号,35,FreeBSD……細川達己
bit 1997年05月号,40,Linux……岡村耕二
bit 1997年05月号,46,アレフ・ゼロ 宣言型言語の本質
bit 1997年05月号,47,情報研究フロンティア① NEC関西C&C研究所……広野和夫
bit 1997年05月号,56,対談:OCNに期待するもの……藤原洋，高橋徹
bit 1997年05月号,66,Tip(53) 英語の読み方，書き方のツボ……安藤進
bit 1997年05月号,67,日本人の手になる最初の電子計算機①……最相力
bit 1997年05月号,74,さなげ山通信② 読書一遍半の勧め HCI分野の世界地図……木村泉
bit 1997年05月号,80,CSA第7回コンピュータ将棋選手権観戦記……松原仁
bit 1997年05月号,87,知的所有権 Hot Line……久保田裕
bit 1997年05月号,88,マルチメディアの基礎技術⑤ 画像情報圧縮の国際標準MPEG……藤原洋
bit 1997年05月号,98,ニューラルコンピューティングの遊び方⑲ スケジューリング問題に挑戦……土屋和広，武藤佳恭
bit 1997年05月号,105,Frepuently Asked Questions
bit 1997年05月号,106,Bookガイド わたしの書棚から㉑ 数式処理編……一松信
bit 1997年05月号,113,ソフトウェア探訪(89) 97年「電子百科事典元年」を迎えて……高橋三雄
bit 1997年05月号,115,bit悪魔の辞典
bit 1997年05月号,116,計算の迷宮㉖ こちら認知科学研究所! Ⅴ……電脳雑技団
bit 1997年05月号,123,bit Cadenza
bit 1997年05月号,124,ぶっくす
bit 1997年06月号,1,表紙
bit 1997年06月号,9,目次
bit 1997年06月号,11,﻿Opinion 西新宿ディジタル村から……石田晴久
bit 1997年06月号,12,1994年度ACMチューリング賞受賞記念講演 “What”はいかにして“How”になるか……Edward A.Feigenbaum，溝口文雄
bit 1997年06月号,21,1994年度ACMチューリング賞受賞記念講演 可能な夢を追い求めて……Raj Reddy，佐藤洋一
bit 1997年06月号,31,bit 悪魔の辞典
bit 1997年06月号,32,アレフ・ゼロ 続蕎麦屋事情
bit 1997年06月号,33,Java最前線① Javaの流れ:温故知新……井田昌之
bit 1997年06月号,38,Top500 スーパーコンピュータサイト ドンガラレポート 2……川添良幸，橋祐一
bit 1997年06月号,45,続・キーボード談議② キーボードエンコーダを作ろう……山崎憲一
bit 1997年06月号,53,Tips(54) 英語の読み方，書き方のツボ……安藤進
bit 1997年06月号,54,小説「進物史観 進化する物語群の歴史を観て」(前編)……金子邦彦
bit 1997年06月号,67,情報研究フロンティア② 電池/UPS 日本電池……広野和夫
bit 1997年06月号,78,Bookガイド わたしの書棚から㉒ ソフトウェアツール編……竹下亨
bit 1997年06月号,89,Frequently Asked Questions
bit 1997年06月号,90,ニューラルコンピューティングの遊び方⑳ 資源配置問題に挑戦……土屋和広，武藤佳恭
bit 1997年06月号,96,知的所有権 Hot Line……久保田裕
bit 1997年06月号,97,マルチメディアの基礎技術⑥ MPEG4ビデオ符号化方式……太田睦
bit 1997年06月号,105,計算の迷宮㉗ 最適化と汎用性は悪魔のささやき……電脳雑技団
bit 1997年06月号,111,ソフトウェア探訪(90) 遅ればせながらの PerfecTV……高橋三雄
bit 1997年06月号,114,日本人の手になる最初の電子計算機②……最相力
bit 1997年06月号,121,投稿 情報化社会のニーズに対応した情報教育の改革私案 学習能力自体の向上を目ざした教育内容の転換を……山内浩一
bit 1997年06月号,127,bit Cadenza
bit 1997年06月号,128,ぶっくす
bit 1997年07月号,1,表紙
bit 1997年07月号,9,目次
bit 1997年07月号,11,Opinion コマーシャルとコンテンツ 情報化新時代の複合化問題……下條信輔
bit 1997年07月号,12,オペレーティングシステム開発における最近の話題 編集にあたって……N.Islam，R.H.Campbell，弓場敏嗣
bit 1997年07月号,15,オペレーティングシステム開発における最近の話題 高速通信のためのオペレーティングシステムのサポート 高速ネットワークにおけるプログラム処理ボトルネック解消の技術……P.Druschel，天海良治
bit 1997年07月号,29,コンピュータチェスが世界チャンピオンを破る……松原仁
bit 1997年07月号,33,情報研究フロンティア③ 研究環境 ソニーコンピュータサイエンス研究所……ひろのかずお
bit 1997年07月号,42,Java最前線 ②  JavaOne印象記……溝口文雄
bit 1997年07月号,51,続・キーボード談議 ③  SHK:片手操作キーカード……杉本正勝
bit 1997年07月号,57,アレフ・ゼロ レーマーの篩計算機
bit 1997年07月号,58,さなげ山通信 ③  自称人間国宝!?　モデル人間プロセッサ……木村泉
bit 1997年07月号,66,Tips(55) 英語の読み方，書き方のツボ……安藤進
bit 1997年07月号,67,小説「進物史観 進化する物語群の歴史を観て」 (後編)……金子邦彦
bit 1997年07月号,80,ニューラルコンピューティングの遊び方㉑  VLSIレイアウト問題に挑戦……土屋和広，武藤佳恭
bit 1997年07月号,86,日本人の手になる最初の電子計算機 ③……最相力
bit 1997年07月号,92,知的所有権 Hot Line……久保田裕
bit 1997年07月号,93,Bookガイド わたしの書棚から㉓ アルゴリズム編……浅野哲夫
bit 1997年07月号,103,計算の迷宮㉘ 抽象化レベルのミスマッチ……電脳雑技団
bit 1997年07月号,108,Frequently Asked Questions
bit 1997年07月号,109,マルチメディアの基礎技術 ⑦ 同期多重分離技術　その1……小林孝之
bit 1997年07月号,119,bit悪魔の辞典
bit 1997年07月号,120,ソフトウェア探訪 (91) 遠隔教育への期待……高橋三雄
bit 1997年07月号,123,bit Cadenza
bit 1997年07月号,124,ぶっくす
bit 1997年08月号,1,表紙
bit 1997年08月号,9,目次
bit 1997年08月号,11,Opinion 我々は今何をすべきか?……Richard Stallman，井田昌之
bit 1997年08月号,12,続・キーボード談議④ 和田キーボード顛末記……八幡勇一
bit 1997年08月号,23,Java最前線③ ガイ・スティール氏へのインタビュー……GuySteele Jr.，松岡聡
bit 1997年08月号,32,アレフ・ゼロ ソフトウェアと航空機
bit 1997年08月号,33,CORBAの仕組みとプログラミング(前編)……河込和宏
bit 1997年08月号,41,Tips(56) 英語の読み方，書き方のツボ……安藤進
bit 1997年08月号,42,Bio-Computingってなんだろう? 逆転の発想:分子コンピュータを目指して……横森貴
bit 1997年08月号,47,知的所有権 Hot Line……久保田裕
bit 1997年08月号,48,さなげ山通信④目玉が走り回る話――MHPと視覚システム……木村泉
bit 1997年08月号,57,KLICプログラミングコンテスト 並列処理技術への挑戦……溝口文雄，田中二郎
bit 1997年08月号,64,ソフトウェア探訪(92) トランクの中身拝見……高橋三雄
bit 1997年08月号,66,ニューラルコンピューティングの遊び方㉒ 現代いろは歌を作ろう……北端美紀，吉池紀子，武藤佳恭
bit 1997年08月号,70,Frequently Asked Questions
bit 1997年08月号,71,オペレーティングシステム開発における最近の話題 真のマイクロカーネルへ向けて……Jochen Liedtke，谷口秀夫
bit 1997年08月号,81,bit悪魔の辞典
bit 1997年08月号,83,Bookガイド わたしの書棚から㉔ コンピュータと社会編……阿部圭一
bit 1997年08月号,90,計算の迷宮㉙ 我的情報你好的情報 陰であなたは監視されている!?……電脳雑技団
bit 1997年08月号,97,インターネットで教室が広がる 神戸-長崎-博物館を結んだ遠隔授業……岡村耕二，藤木卓，中村千秋，鶴正人，池永全志
bit 1997年08月号,105,マルチメディアの基礎技術⑧ 同期多重分離技術 その2……大久保栄
bit 1997年08月号,115,情報研究フロンティア④ セキュリティ/暗号 三菱電機情報技術総合研究所……ひろのかずお
bit 1997年08月号,127,bit Cadenza
bit 1997年08月号,128,ぶっくす
bit 1997年09月号,1,表紙
bit 1997年09月号,9,目次
bit 1997年09月号,11,Opinion 窓の向こうの3次元……山下樹里
bit 1997年09月号,12,静かに進むコンピュータの軟化革命……星野力
bit 1997年09月号,21,産業界の救世主になるか?  “イントラネット”……高橋昭男
bit 1997年09月号,28,アレフ・ゼロ 研究所も変わらなきゃ
bit 1997年09月号,29,計算機は落書き帳を超えられるか? 知的描画システムへの挑戦……五十嵐健夫
bit 1997年09月号,37,続・キーボード談議⑤ 「自分用」 キーボード……原田康徳
bit 1997年09月号,45,Emacs Lispで作る……淵野昌
bit 1997年09月号,54,Tips(57) 英語の読み方，書き方のツボ……安藤進
bit 1997年09月号,55,CORBAの仕組みとプログラミング(後編)……河込和宏
